Change component parameters (AddParameter): Name = "Link"; Value = "https://www.lcsc.com/product-detail/Voltage-Regulators-Linear-Low-Drop-Out-LDO-Regulators_STMicroelectronics-LM317MDT-TR_C68136.html?s_z=n_lm317"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer_Name"; Value = "STMicroelectronics"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "MPN"; Value = "LM317MDT-TR"; VariantName = "[No Variations]"
Change component parameters: Designator = "IC200" ("IC200"); Footprint = "SOP65P640X120-14N"; UniqueID = "\EVALENJY" ("\EVALENJY")
Change component parameters (AddParameter): Name = "Arrow Part Number"; Value = "TLV9064IPWR"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Arrow Price/Stock"; Value = "https://www.arrow.com/en/products/tlv9064ipwr/texas-instruments?utm_currency=USD&region=nac"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Datasheet Link"; Value = "http://www.ti.com/lit/ds/symlink/tlv9064.pdf"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Height"; Value = "1.2mm"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "LCSC Part Number"; Value = "C779410"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "LCSC Price/Stock"; Value = "https://www.lcsc.com/product-detail/Operational-Amplifier_Texas-Instruments-TLV9064IPWR_C779410.html?s_z=n_TLV9064IPWR"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Link"; Value = "https://www.lcsc.com/product-detail/Operational-Amplifier_Texas-Instruments-TLV9064IPWR_C779410.html?s_z=n_TLV9064IPWR"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer_Name"; Value = "Texas Instruments"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer_Part_Number"; Value = "TLV9064IPWR"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Mouser Part Number"; Value = "595-TLV9064IPWR"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Mouser Price/Stock"; Value = "https://www.mouser.co.uk/ProductDetail/Texas-Instruments/TLV9064IPWR?qs=W0yvOO0ixfHY9ZUvwjcceA%3D%3D"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "MPN"; Value = "TLV9064IPWR"; VariantName = "[No Variations]"
Change component parameters: Designator = "IC300" ("IC300"); Footprint = "SOIC127P600X175-8N"; UniqueID = "\JETLHAKT" ("\JETLHAKT")
Change component parameters (AddParameter): Name = "Arrow Part Number"; Value = "UCC27712DR"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Datasheet Link"; Value = "https://www.lcsc.com/datasheet/lcsc_datasheet_2410121944_Texas-Instruments-UCC27712DR_C485818.pdf"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Height"; Value = "1.75mm"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "LCSC Part Number"; Value = "C485818"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "LCSC Price/Stock"; Value = "https://www.lcsc.com/product-detail/Gate-Drivers_Texas-Instruments-UCC27712DR_C485818.html?s_z=n_UCC27712DR"; VariantName = "[No Variations]"
